"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","4","","RecipeStepSuite","","","","[RecipeStep update] repo error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","51","","SaladSuite","","","","[Salad get all] repo error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","69","","RecipeStepInteractorSuite","","","","[Recipe step interactor create] service error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","80","","SaladTypeRepoSuite","","","","[Salad type link] sql error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","20","","KeywordsRepoSuite","","","","[Keyword update] failed to update",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","14","","RecipeStepRepoSuite","","","","[Recipe step create] not inserted",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","35","","CommentSuite","","","","[Comment get all by salad id] repo error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","111","","UserSuite","","","","[User get all] successful get",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","60","","RecipeStepSuite","","","","[RecipeStep get by id] successful get",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","29","","AuthSuite","","","","[Login] successfully signed in",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","46","","RecipeRepoSuite","","","","[Recipe get by id] successful get",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","72","","UserSuite","","","","[User create] successfully created",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","119","","CommentRepoSuite","","","","[Comment get all by salad id] sql error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","76","","UserSuite","","","","[User delete by id] repo error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","40","","SaladInteractorSuite","","","","[Salad interactor get all rated by user] service error",""
"passed","Wed Oct 23 08:22:57 GMT 2024","Wed Oct 23 08:22:57 GMT 2024","38","","RecipeRepoSuite","","","","[Recipe get by id] failed to get",""
